Gene_Id	Gene_Symbol	Gene_Description	Disease_Id	DiseaseName	PsychiatricDisorder	Number_of_AbstractsValidated	Number_of_Abstracts	Source_Id	Score	Disease_Number
2566	GABRG2	gamma-aminobutyric acid (GABA) A receptor, gamma 2	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	2	2	psycur15	1	1
4915	NTRK2	neurotrophic tyrosine kinase, receptor, type 2	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	3	3	psycur15	1	7
1138	CHRNA5	cholinergic receptor, nicotinic, alpha 5 (neuronal)	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	5	psycur15	1	2
5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	umls:C0011581	depressive disorder	Depressive disorders	5	10	psycur15	1	5
886	CCKAR	cholecystokinin A receptor	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	5	psycur15	1	2
1136	CHRNA3	cholinergic receptor, nicotinic, alpha 3 (neuronal)	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	4	4	psycur15	1	2
3776	KCNK2	potassium channel, two pore domain subfamily K, member 2	umls:C0011581	depressive disorder	Depressive disorders	5	7	psycur15	1	3
3630	INS	insulin	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	12	psycur15	1	2
1269	CNR2	cannabinoid receptor 2 (macrophage)	umls:C0011581	depressive disorder	Depressive disorders	5	8	psycur15	1	2
157	ADRBK2	adrenergic, beta, receptor kinase 2	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	7	psycur15	1	1
6671	SP4	Sp4 transcription factor	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	2	2	psycur15	1	1
6616	SNAP25	synaptosomal-associated protein, 25kDa	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	3	3	psycur15	1	3
5173	PDYN	prodynorphin	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	10	psycur15	1	10
6870	TACR3	tachykinin receptor 3	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	1	1	psycur15	1	1
5443	POMC	proopiomelanocortin	umls:C0011581	depressive disorder	Depressive disorders	5	7	psycur15	1	5
1816	DRD5	dopamine receptor D5	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	6	psycur15	1	1
6869	TACR1	tachykinin receptor 1	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	8	psycur15	1	5
6622	SNCA	synuclein, alpha (non A4 component of amyloid precursor)	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	5	psycur15	1	1
5726	TAS2R38	taste receptor, type 2, member 38	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	4	4	psycur15	1	1
5142	PDE4B	phosphodiesterase 4B, cAMP-specific	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	4	4	psycur15	1	3
5649	RELN	reelin	umls:C0011581	depressive disorder	Depressive disorders	4	4	psycur15	1	6
2932	GSK3B	glycogen synthase kinase 3 beta	umls:C0011581	depressive disorder	Depressive disorders	3	3	psycur15	1	5
2898	GRIK2	glutamate receptor, ionotropic, kainate 2	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	3	3	psycur15	1	1
2550	GABBR1	gamma-aminobutyric acid (GABA) B receptor, 1	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	4	4	psycur15	1	1
2260	FGFR1	fibroblast growth factor receptor 1	umls:C0011581	depressive disorder	Depressive disorders	4	4	psycur15	1	5
114	ADCY8	adenylate cyclase 8 (brain)	umls:C0525045	mood disorders	Depressive disorders	4	4	psycur15	1	3
84628	NTNG2	netrin G2	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	2	2	psycur15	1	1
6869	TACR1	tachykinin receptor 1	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	3	3	psycur15	1	5
6647	SOD1	superoxide dismutase 1, soluble	umls:C0011581	depressive disorder	Depressive disorders	2	2	psycur15	1	2
5265	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	2	2	psycur15	1	2
4887	NPY2R	neuropeptide Y receptor Y2	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	2	2	psycur15	1	2
1109	AKR1C4	aldo-keto reductase family 1, member C4	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	2	2	psycur15	1	1
6616	SNAP25	synaptosomal-associated protein, 25kDa	umls:C0011581	depressive disorder	Depressive disorders	1	1	psycur15	1	3
6462	SHBG	sex hormone-binding globulin	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	1	1	psycur15	1	1
5649	RELN	reelin	umls:C1269683	major depressive disorder	Depressive disorders	2	2	psycur15	1	6
5443	POMC	proopiomelanocortin	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	1	1	psycur15	1	5
2739	GLO1	glyoxalase I	umls:C0011581	depressive disorder	Depressive disorders	1	1	psycur15	1	2
6532	SLC6A4	solute carrier family 6 (neurotransmitter transporter), member 4	umls:C0011570	mental depression	Depressive disorders	5	334	psycur15	1	23
3350	HTR1A	5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled	umls:C0011570	mental depression	Depressive disorders	5	72	psycur15	1	13
3350	HTR1A	5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled	umls:C1269683	major depressive disorder	Depressive disorders	5	49	psycur15	1	13
1813	DRD2	dopamine receptor D2	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	155	psycur15	1	15
627	BDNF	brain-derived neurotrophic factor	umls:C0011570	mental depression	Depressive disorders	5	255	psycur15	1	9
121278	TPH2	tryptophan hydroxylase 2	umls:C0011570	mental depression	Depressive disorders	5	37	psycur15	1	7
627	BDNF	brain-derived neurotrophic factor	umls:C1269683	major depressive disorder	Depressive disorders	5	105	psycur15	1	9
1312	COMT	catechol-O-methyltransferase	umls:C0011570	mental depression	Depressive disorders	5	43	psycur15	1	12
1394	CRHR1	corticotropin releasing hormone receptor 1	umls:C0011581	depressive disorder	Depressive disorders	5	42	psycur15	1	7
6531	SLC6A3	solute carrier family 6 (neurotransmitter transporter), member 3	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	30	psycur15	1	11
3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	umls:C0011570	mental depression	Depressive disorders	5	35	psycur15	1	11
4128	MAOA	monoamine oxidase A	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	24	psycur15	1	14
1394	CRHR1	corticotropin releasing hormone receptor 1	umls:C0011570	mental depression	Depressive disorders	5	42	psycur15	1	7
4128	MAOA	monoamine oxidase A	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	23	psycur15	1	14
4128	MAOA	monoamine oxidase A	umls:C0011570	mental depression	Depressive disorders	5	32	psycur15	1	14
7166	TPH1	tryptophan hydroxylase 1	umls:C1269683	major depressive disorder	Depressive disorders	5	22	psycur15	1	9
2908	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	umls:C0011570	mental depression	Depressive disorders	5	49	psycur15	1	7
4128	MAOA	monoamine oxidase A	umls:C1269683	major depressive disorder	Depressive disorders	5	30	psycur15	1	14
3084	NRG1	neuregulin 1	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	37	psycur15	1	3
3553	IL1B	interleukin 1, beta	umls:C0011581	depressive disorder	Depressive disorders	5	24	psycur15	1	6
27185	DISC1	disrupted in schizophrenia 1	umls:C1269683	major depressive disorder	Depressive disorders	5	23	psycur15	1	8
6531	SLC6A3	solute carrier family 6 (neurotransmitter transporter), member 3	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	35	psycur15	1	11
6530	SLC6A2	solute carrier family 6 (neurotransmitter transporter), member 2	umls:C0011581	depressive disorder	Depressive disorders	5	20	psycur15	1	9
4852	NPY	neuropeptide Y	umls:C0011570	mental depression	Depressive disorders	5	41	psycur15	1	11
1815	DRD4	dopamine receptor D4	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	17	psycur15	1	11
1813	DRD2	dopamine receptor D2	umls:C0011581	depressive disorder	Depressive disorders	5	15	psycur15	1	15
6531	SLC6A3	solute carrier family 6 (neurotransmitter transporter), member 3	umls:C0011570	mental depression	Depressive disorders	5	16	psycur15	1	11
7166	TPH1	tryptophan hydroxylase 1	umls:C0011570	mental depression	Depressive disorders	5	11	psycur15	1	9
6532	SLC6A4	solute carrier family 6 (neurotransmitter transporter), member 4	umls:C0041696	unipolar depression	Depressive disorders	5	137	psycur15	1	23
627	BDNF	brain-derived neurotrophic factor	umls:C0525045	mood disorders	Depressive disorders	5	79	psycur15	1	9
217	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	umls:C0085762	alcohol abuse	Alcohol use disorders	5	10	psycur15	1	6
4524	MTHFR	methylenetetrahydrofolate reductase (NAD(P)H)	umls:C0011570	mental depression	Depressive disorders	5	26	psycur15	1	10
4915	NTRK2	neurotrophic tyrosine kinase, receptor, type 2	umls:C0011581	depressive disorder	Depressive disorders	5	9	psycur15	1	7
1392	CRH	corticotropin releasing hormone	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	12	psycur15	1	10
267012	DAOA	D-amino acid oxidase activator	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	22	psycur15	1	7
6530	SLC6A2	solute carrier family 6 (neurotransmitter transporter), member 2	umls:C0011570	mental depression	Depressive disorders	5	20	psycur15	1	9
125	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	umls:C0085762	alcohol abuse	Alcohol use disorders	5	8	psycur15	1	4
1621	DBH	dopamine beta-hydroxylase (dopamine beta-monooxygenase)	umls:C0011581	depressive disorder	Depressive disorders	5	9	psycur15	1	8
27185	DISC1	disrupted in schizophrenia 1	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	57	psycur15	1	8
1392	CRH	corticotropin releasing hormone	umls:C0011570	mental depression	Depressive disorders	5	65	psycur15	1	10
6285	S100B	S100 calcium binding protein B	umls:C0011581	depressive disorder	Depressive disorders	5	5	psycur15	1	7
1395	CRHR2	corticotropin releasing hormone receptor 2	umls:C0011581	depressive disorder	Depressive disorders	4	4	psycur15	1	6
1129	CHRM2	cholinergic receptor, muscarinic 2	umls:C0011581	depressive disorder	Depressive disorders	4	4	psycur15	1	4
3351	HTR1B	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	19	psycur15	1	8
150	ADRA2A	adrenoceptor alpha 2A	umls:C0011581	depressive disorder	Depressive disorders	4	4	psycur15	1	4
1814	DRD3	dopamine receptor D3	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	21	psycur15	1	12
2030	SLC29A1	solute carrier family 29 (equilibrative nucleoside transporter), member 1	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	2	2	psycur15	1	1
1393	CRHBP	corticotropin releasing hormone binding protein	umls:C0011581	depressive disorder	Depressive disorders	3	3	psycur15	1	6
1813	DRD2	dopamine receptor D2	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	29	psycur15	1	15
9575	CLOCK	clock circadian regulator	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	34	psycur15	1	7
84062	DTNBP1	dystrobrevin binding protein 1	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	12	psycur15	1	7
6532	SLC6A4	solute carrier family 6 (neurotransmitter transporter), member 4	umls:C0085762	alcohol abuse	Alcohol use disorders	2	2	psycur15	1	23
4803	NGF	nerve growth factor (beta polypeptide)	umls:C0011581	depressive disorder	Depressive disorders	1	1	psycur15	1	2
2289	FKBP5	FK506 binding protein 5	umls:C0011570	mental depression	Depressive disorders	5	28	psycur15	1	8
10327	AKR1A1	aldo-keto reductase family 1, member A1 (aldehyde reductase)	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	69	psycur15	1	3
3350	HTR1A	5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled	umls:C0011581	depressive disorder	Depressive disorders	5	75	psycur15	1	13
627	BDNF	brain-derived neurotrophic factor	umls:C0041696	unipolar depression	Depressive disorders	5	105	psycur15	1	9
3350	HTR1A	5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled	umls:C0041696	unipolar depression	Depressive disorders	5	49	psycur15	1	13
7054	TH	tyrosine hydroxylase	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	27	psycur15	1	9
121278	TPH2	tryptophan hydroxylase 2	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	17	psycur15	1	7
3358	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	11	psycur15	1	9
1312	COMT	catechol-O-methyltransferase	umls:C1269683	major depressive disorder	Depressive disorders	5	34	psycur15	1	12
1813	DRD2	dopamine receptor D2	umls:C0085762	alcohol abuse	Alcohol use disorders	5	10	psycur15	1	15
1385	CREB1	cAMP responsive element binding protein 1	umls:C0011570	mental depression	Depressive disorders	5	17	psycur15	1	7
10611	PDLIM5	PDZ and LIM domain 5	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	14	psycur15	1	3
2908	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	umls:C1269683	major depressive disorder	Depressive disorders	5	31	psycur15	1	7
5027	P2RX7	purinergic receptor P2X, ligand gated ion channel, 7	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	14	psycur15	1	4
3350	HTR1A	5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled	umls:C0525045	mood disorders	Depressive disorders	5	27	psycur15	1	13
6530	SLC6A2	solute carrier family 6 (neurotransmitter transporter), member 2	umls:C1269683	major depressive disorder	Depressive disorders	5	21	psycur15	1	9
3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	umls:C0041696	unipolar depression	Depressive disorders	5	41	psycur15	1	11
7124	TNF	tumor necrosis factor	umls:C0011570	mental depression	Depressive disorders	5	36	psycur15	1	6
3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	umls:C0525045	mood disorders	Depressive disorders	5	21	psycur15	1	11
1312	COMT	catechol-O-methyltransferase	umls:C0525045	mood disorders	Depressive disorders	5	19	psycur15	1	12
2904	GRIN2B	glutamate receptor, ionotropic, N-methyl D-aspartate 2B	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	8	psycur15	1	5
1815	DRD4	dopamine receptor D4	umls:C0085762	alcohol abuse	Alcohol use disorders	2	2	psycur15	1	11
4128	MAOA	monoamine oxidase A	umls:C0525045	mood disorders	Depressive disorders	5	17	psycur15	1	14
3553	IL1B	interleukin 1, beta	umls:C0011570	mental depression	Depressive disorders	5	24	psycur15	1	6
7166	TPH1	tryptophan hydroxylase 1	umls:C0525045	mood disorders	Depressive disorders	5	11	psycur15	1	9
1565	CYP2D6	cytochrome P450, family 2, subfamily D, polypeptide 6	umls:C0011570	mental depression	Depressive disorders	5	13	psycur15	1	5
2784	GNB3	guanine nucleotide binding protein (G protein), beta polypeptide 3	umls:C1269683	major depressive disorder	Depressive disorders	5	8	psycur15	1	6
9572	NR1D1	nuclear receptor subfamily 1, group D, member 1	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	8	psycur15	1	3
2558	GABRA5	gamma-aminobutyric acid (GABA) A receptor, alpha 5	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	5	psycur15	1	2
1312	COMT	catechol-O-methyltransferase	umls:C0011581	depressive disorder	Depressive disorders	5	46	psycur15	1	12
5443	POMC	proopiomelanocortin	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	28	psycur15	1	5
4128	MAOA	monoamine oxidase A	umls:C0041696	unipolar depression	Depressive disorders	5	31	psycur15	1	14
3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	umls:C0011581	depressive disorder	Depressive disorders	5	37	psycur15	1	11
131	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	16	psycur15	1	1
160851	DGKH	diacylglycerol kinase, eta	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	10	psycur15	1	1
126	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	umls:C0085762	alcohol abuse	Alcohol use disorders	4	4	psycur15	1	3
1312	COMT	catechol-O-methyltransferase	umls:C0041696	unipolar depression	Depressive disorders	5	35	psycur15	1	12
3358	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	umls:C1269683	major depressive disorder	Depressive disorders	5	15	psycur15	1	9
3569	IL6	interleukin 6	umls:C0011570	mental depression	Depressive disorders	5	30	psycur15	1	6
1385	CREB1	cAMP responsive element binding protein 1	umls:C1269683	major depressive disorder	Depressive disorders	5	29	psycur15	1	7
1815	DRD4	dopamine receptor D4	umls:C0011570	mental depression	Depressive disorders	5	17	psycur15	1	11
1815	DRD4	dopamine receptor D4	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	17	psycur15	1	11
3351	HTR1B	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled	umls:C0011570	mental depression	Depressive disorders	5	13	psycur15	1	8
121278	TPH2	tryptophan hydroxylase 2	umls:C0041696	unipolar depression	Depressive disorders	5	28	psycur15	1	7
3358	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	umls:C0011570	mental depression	Depressive disorders	5	17	psycur15	1	9
348	APOE	apolipoprotein E	umls:C0011206	delirium	Schizophrenia spectrum and other psychotic disorders	5	11	psycur15	1	3
1557	CYP2C19	cytochrome P450, family 2, subfamily C, polypeptide 19	umls:C0011570	mental depression	Depressive disorders	4	4	psycur15	1	4
406	ARNTL	aryl hydrocarbon receptor nuclear translocator-like	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	7	psycur15	1	5
6999	TDO2	tryptophan 2,3-dioxygenase	umls:C1269683	major depressive disorder	Depressive disorders	5	21	psycur15	1	3
4128	MAOA	monoamine oxidase A	umls:C0011581	depressive disorder	Depressive disorders	5	34	psycur15	1	14
5027	P2RX7	purinergic receptor P2X, ligand gated ion channel, 7	umls:C0011570	mental depression	Depressive disorders	5	9	psycur15	1	4
4915	NTRK2	neurotrophic tyrosine kinase, receptor, type 2	umls:C0011570	mental depression	Depressive disorders	5	9	psycur15	1	7
2562	GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	4	4	psycur15	1	4
7124	TNF	tumor necrosis factor	umls:C0011581	depressive disorder	Depressive disorders	5	35	psycur15	1	6
1392	CRH	corticotropin releasing hormone	umls:C0525045	mood disorders	Depressive disorders	5	22	psycur15	1	10
1813	DRD2	dopamine receptor D2	umls:C0525045	mood disorders	Depressive disorders	5	14	psycur15	1	15
4988	OPRM1	opioid receptor, mu 1	umls:C0085762	alcohol abuse	Alcohol use disorders	2	2	psycur15	1	8
4128	MAOA	monoamine oxidase A	umls:C0085762	alcohol abuse	Alcohol use disorders	2	2	psycur15	1	14
1392	CRH	corticotropin releasing hormone	umls:C1269683	major depressive disorder	Depressive disorders	5	25	psycur15	1	10
627	BDNF	brain-derived neurotrophic factor	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	21	psycur15	1	9
1813	DRD2	dopamine receptor D2	umls:C0011570	mental depression	Depressive disorders	5	15	psycur15	1	15
216	ALDH1A1	aldehyde dehydrogenase 1 family, member A1	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	12	psycur15	1	3
63876	PKNOX2	PBX/knotted 1 homeobox 2	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	2	2	psycur15	1	1
6531	SLC6A3	solute carrier family 6 (neurotransmitter transporter), member 3	umls:C0085762	alcohol abuse	Alcohol use disorders	1	1	psycur15	1	11
4852	NPY	neuropeptide Y	umls:C0085762	alcohol abuse	Alcohol use disorders	2	2	psycur15	1	11
6999	TDO2	tryptophan 2,3-dioxygenase	umls:C0041696	unipolar depression	Depressive disorders	5	21	psycur15	1	3
1815	DRD4	dopamine receptor D4	umls:C0525045	mood disorders	Depressive disorders	5	16	psycur15	1	11
8863	PER3	period circadian clock 3	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	8	psycur15	1	5
5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	umls:C0011570	mental depression	Depressive disorders	5	10	psycur15	1	4
4524	MTHFR	methylenetetrahydrofolate reductase (NAD(P)H)	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	5	psycur15	1	10
124	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	5	psycur15	1	1
2908	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	umls:C0041696	unipolar depression	Depressive disorders	5	33	psycur15	1	7
1385	CREB1	cAMP responsive element binding protein 1	umls:C0011581	depressive disorder	Depressive disorders	5	21	psycur15	1	7
255239	ANKK1	ankyrin repeat and kinase domain containing 1	umls:C0001973	alcoholic intoxication, chronic	Alcohol use disorders	5	22	psycur15	1	4
27185	DISC1	disrupted in schizophrenia 1	umls:C0011570	mental depression	Depressive disorders	5	16	psycur15	1	8
9575	CLOCK	clock circadian regulator	umls:C0011570	mental depression	Depressive disorders	5	15	psycur15	1	7
2908	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	umls:C0525045	mood disorders	Depressive disorders	5	20	psycur15	1	7
2904	GRIN2B	glutamate receptor, ionotropic, N-methyl D-aspartate 2B	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	10	psycur15	1	5
1268	CNR1	cannabinoid receptor 1 (brain)	umls:C0011570	mental depression	Depressive disorders	5	14	psycur15	1	7
2571	GAD1	glutamate decarboxylase 1 (brain, 67kDa)	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	15	psycur15	1	7
7166	TPH1	tryptophan hydroxylase 1	umls:C0005586	bipolar disorder	Bipolar disorders and related disorders	5	9	psycur15	1	9
5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	umls:C0011570	mental depression	Depressive disorders	5	9	psycur15	1	5
